Отметка времени,Оберіть вашу посаду,Основна мова програмування,Додаткова мова програмування,"Фреймворки, бібліотеки й платформи",Вкажіть вашу спеціалізацію,Яку мову програмування ви використовуєте у роботі?,Оберіть вашу посаду_1,Оберіть вашу посаду_2,В якій області ви працюєте?,Місто,Тип компанії,Кількість технічних спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,"Зарплата за місяць, net, після податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Стать,Вік,Освіта,ЗВО,Знання англійської мови
2020/01/03 12:06:05 PM GMT+2,Team Lead,,,,,,,,Android;iOS;Веб-розробка,Дніпро,Аутсорсингова,до 50,2 роки,2 роки,1800,800,Чоловік,28,Дві вищих,НметАУ,Upper-Intermediate
2019/12/02 2:01:47 PM GMT+2,Team Lead,,,,,,,,Веб-розробка,Хмельницький,Стартап,до 10 спеціалістів,6 років,3 роки,1800,0,Чоловік,29,Вища,ХНУ [м. Хмельницький],Intermediate
2019/12/03 10:13:39 AM GMT+2,Marketing,,,,,,,,Корпоративні системи,Київ,Продуктова,до 1000,7 років,Менше 3 місяців,1800,700,Жінка,29,Вища,КНУ ім. Шевченка,Upper-Intermediate
2019/12/03 11:21:47 AM GMT+2,QA Engineer,,,,Manual QA,Java,,,eCommerce,Київ,Аутсорсингова,понад 1000,4 роки,Півроку,1800,200,Чоловік,29,Вища,Інший виш,Intermediate
2019/12/03 1:42:40 PM GMT+2,Software Engineer,JavaScript,Не використовую,Angular/Angular.js,,,,,Desktop Applications;Веб-розробка,Київ,Продуктова,до 50,2 роки,2 роки,1800,500,Чоловік,29,Вища,КНУ ім. Шевченка,Intermediate
2019/12/03 2:26:17 PM GMT+2,QA Engineer,,,,Automation QA,Python,,,Embedded,Львів,Продуктова,до 200,2 роки,2 роки,1800,100,Чоловік,29,Вища,Львівська політехніка,Advanced
2019/12/03 6:13:52 PM GMT+2,Software Engineer,PHP,JavaScript,,,,,,eCommerce,Дніпро,Продуктова,до 200,6 років,4 роки,1800,500,Чоловік,29,Вища,НГУ [Дніпро],Upper-Intermediate
2019/12/03 6:56:30 PM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Веб-розробка,Львів,Аутсорсингова,до 1000,4 роки,2 роки,1800,500,Жінка,29,Незакінчена вища,ОНУ ім. Мечникова,Upper-Intermediate
2019/12/03 10:34:18 PM GMT+2,QA Engineer,,,,Automation QA,Python,,,Desktop Applications;Embedded,Одеса,Аутсорсингова,до 1000,4 роки,1 рік,1800,500,Чоловік,29,Вища,ВНУ ім. Даля,Intermediate
2019/12/05 9:06:25 AM GMT+2,Software Engineer,JavaScript,Не використовую,React.js;Vue.js,,,,,Веб-розробка,Віддалено,Стартап,до 10 спеціалістів,3 роки,1 рік,1800,400,Чоловік,29,Вища,ОНПУ,Intermediate
2019/12/15 5:20:02 AM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Веб-розробка,Харків,Аутсорсингова,до 10 спеціалістів,5 років,3 місяці,1800,600,Жінка,29,Вища,Інший виш,Intermediate
2019/12/20 9:09:35 PM GMT+2,Software Engineer,Java,Не використовую,Hibernate;Spring,,,,,Корпоративні системи,Київ,Продуктова,до 1000,3 роки,2 роки,1800,800,Чоловік,29,Вища,ЧНТУ,Pre-Intermediate
2019/12/02 1:52:05 PM GMT+2,QA Engineer,,,,General QA,Java,,,Веб-розробка,Київ,Продуктова,до 1000,3 роки,1 рік,1800,0,Чоловік,30,Дві вищих,,Upper-Intermediate
2019/12/02 1:54:32 PM GMT+2,QA Engineer,,,,Automation QA,Java,,,Веб-розробка;Корпоративні системи,Київ,Аутстафінгова,до 1000,4 роки,1 рік,1800,600,Чоловік,30,Вища,Інший виш,Intermediate
2019/12/03 11:31:27 AM GMT+2,Business Analyst,,,,,,,,Веб-розробка,Київ,Стартап,до 10 спеціалістів,2 роки,1 рік,1800,200,Чоловік,30,Вища,Інший виш,Intermediate
2019/12/03 4:13:12 PM GMT+2,QA Engineer,,,,Manual QA,Python,,,Android;Embedded,Київ,Аутсорсингова,понад 1000,3 роки,2 роки,1800,200,Жінка,30,Вища,Інший виш,Upper-Intermediate
2019/12/03 5:12:45 PM GMT+2,Support,,,,,,,,Android;iOS;Корпоративні системи,Київ,Продуктова,до 200,10 і більше років,5 років,1800,290,Чоловік,30,Вища,КНЕУ,Intermediate
2019/12/03 6:01:20 PM GMT+2,HR,,,,,,,HR Business Partner,Веб-розробка,Київ,Продуктова,до 50,4 роки,2 роки,1800,200,Чоловік,30,Вища,Інший виш,Upper-Intermediate
2019/12/03 9:05:01 PM GMT+2,Software Engineer,Java,SQL,Hibernate;Spring,,,,,Фінанси та банки,Київ,Продуктова,до 50,2 роки,Півроку,1800,800,Чоловік,30,Вища,Інший виш,Intermediate
2019/12/03 11:17:31 PM GMT+2,Software Engineer,JavaScript,Ruby,Angular/Angular.js;Express;Node.js,,,,,Веб-розробка,Харків,Аутсорсингова,до 200,2 роки,Півроку,1800,500,Чоловік,30,Кандидат,НТУ «ХПІ»,Pre-Intermediate
2019/12/04 8:30:11 AM GMT+2,Business Analyst,,,,,,,,Корпоративні системи,Київ,Аутсорсингова,до 1000,4 роки,2 роки,1800,500,Чоловік,30,Вища,КНЕУ,Upper-Intermediate
2019/12/04 9:56:26 AM GMT+2,Project Manager,,,,,,,,Gamedev,Київ,Стартап,до 200,4 роки,1 рік,1800,0,Чоловік,30,Вища,Інший виш,Intermediate
2019/12/04 12:20:07 PM GMT+2,Software Engineer,Java,Java,Hibernate;jQuery;Play,,,,,Веб-розробка,Чернівці,Аутсорсингова,до 10 спеціалістів,5 років,2 роки,1800,0,Чоловік,30,Вища,ЧНУ ім. Федьковича,Intermediate
2019/12/04 3:43:46 PM GMT+2,QA Engineer,,,,Manual QA,Java,,,Desktop Applications,Київ,Продуктова,до 1000,4 роки,Півроку,1800,500,Чоловік,30,Вища,,Upper-Intermediate
2019/12/11 9:17:19 PM GMT+2,Technical writer,,,,,,,,Телекомунікації,Київ,Продуктова,до 50,Менше 3 місяців,Менше 3 місяців,1800,800,Жінка,30,Дві вищих,КНУ ім. Шевченка,Advanced
2019/12/16 12:51:20 PM GMT+2,Software Engineer,PHP,JavaScript,,,,,,eCommerce,Житомир,Продуктова,до 50,7 років,3 роки,1800,100,Чоловік,30,Вища,ЖДТУ,Intermediate
2019/12/17 6:29:11 PM GMT+2,QA Tech Lead,,,,Automation QA,Java,,,Телекомунікації,Чернігів,Продуктова,до 200,7 років,7 років,1800,350,Чоловік,30,Вища,ЧНТУ,Upper-Intermediate
2019/12/23 4:41:21 PM GMT+2,Designer,,,,,,UI/UX Designer,,Android;iOS;Веб-розробка,Київ,Продуктова,понад 1000,6 років,1 рік,1800,300,Чоловік,30,Технікум / Коледж,,Intermediate
2019/12/24 3:35:42 PM GMT+2,Marketing,,,,,,,,Інше,Київ,Аутсорсингова,понад 1000,8 років,3 роки,1800,0,Жінка,30,Вища,ХНУ ім. Каразіна,Upper-Intermediate
2019/12/26 10:45:05 AM GMT+2,Software Engineer,PHP,JavaScript,jQuery;Laravel;Vue.js,,,,,Веб-розробка,Львів,Аутстафінгова,понад 1000,5 років,3 роки,1800,200,Чоловік,30,Вища,,Intermediate
2019/12/26 2:52:02 PM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Android;iOS;Веб-розробка,Львів,Аутсорсингова,до 200,4 роки,4 роки,1800,400,Чоловік,30,Вища,Львівська політехніка,Upper-Intermediate
2019/12/27 6:01:33 PM GMT+2,Product Manager,,,,,,,,Корпоративні системи,Київ,Аутсорсингова,до 200,5 років,Півроку,1800,600,Жінка,30,Вища,,Upper-Intermediate
2019/12/03 11:29:27 AM GMT+2,Software Engineer,JavaScript,Не використовую,React.js,,,,,Веб-розробка;eCommerce,Дніпро,Аутстафінгова,до 1000,4 роки,2 роки,1800,800,Чоловік,31,Вища,ДНУ ім. Гончара,Intermediate
2019/12/03 2:51:29 PM GMT+2,Data Analyst,,,,,,,,Корпоративні системи,Львів,Аутстафінгова,до 50,3 роки,2 роки,1800,400,Чоловік,31,Вища,КНЕУ,Advanced
2019/12/03 3:26:59 PM GMT+2,Project Manager,,,,,,,,Веб-розробка,Київ,Продуктова,до 50,7 років,Менше 3 місяців,1800,-500,Жінка,31,Незакінчена вища,ДНУ ім. Гончара,Intermediate
2019/12/03 4:21:33 PM GMT+2,Senior QA Engineer,,,,Manual QA,Іншу,,,Android;iOS;Корпоративні системи,Київ,Продуктова,до 50,5 років,5 років,1800,240,Жінка,31,Вища,ВНТУ,Intermediate
2019/12/03 10:22:43 PM GMT+2,Software Engineer,JavaScript,Не використовую,jQuery;Vue.js,,,,,Веб-розробка,Київ,Продуктова,до 50,2 роки,Менше 3 місяців,1800,1300,Чоловік,31,Вища,НТУУ «КПІ»,Intermediate
2019/12/04 12:23:10 AM GMT+2,Designer,,,,,,UI/UX Designer,,Веб-розробка;Фінанси та банки;Корпоративні системи,Київ,Аутсорсингова,до 1000,5 років,2 роки,1800,0,Чоловік,31,Вища,ДонНТУ,Upper-Intermediate
2019/12/06 4:10:09 PM GMT+2,Business Analyst,,,,,,,,Android;iOS;Desktop Applications,Київ,Аутсорсингова,до 200,3 роки,Менше 3 місяців,1800,600,Чоловік,31,Вища,НАУ,Upper-Intermediate
2019/12/13 1:42:10 PM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Веб-розробка;Embedded;eCommerce,Одеса,Продуктова,до 1000,5 років,5 років,1800,200,Чоловік,31,Вища,ОНАЗ,Intermediate
2019/12/24 10:04:42 AM GMT+2,Project Manager,,,,,,,,Веб-розробка,Київ,Продуктова,до 10 спеціалістів,3 роки,Менше 3 місяців,1800,300,Чоловік,31,Дві вищих,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 10:09:24 AM GMT+2,QA Engineer,,,,General QA,JavaScript,,,Інше,Київ,Продуктова,до 200,4 роки,1 рік,1800,500,Жінка,32,Вища,Інший виш,Intermediate
2019/12/03 12:26:38 PM GMT+2,Software Engineer,JavaScript,SQL,React.js,,,,,Android;iOS;Веб-розробка,Дніпро,Продуктова,до 200,3 роки,2 роки,1800,500,Чоловік,32,Вища,ДНУ ім. Гончара,Pre-Intermediate
2019/12/03 12:34:12 PM GMT+2,Software Engineer,PHP,JavaScript,Angular/Angular.js;jQuery,,,,,Корпоративні системи,Чернігів,Продуктова,до 200,10 і більше років,5 років,1800,200,Чоловік,32,Вища,ЧНТУ,Pre-Intermediate
2019/12/05 3:23:29 PM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Desktop Applications;Веб-розробка;Фінанси та банки,Київ,Аутсорсингова,до 200,3 роки,1 рік,1800,0,Жінка,32,Вища,КНУ ім. Шевченка,Upper-Intermediate
2019/12/10 9:38:20 AM GMT+2,QA Engineer,,,,Manual QA,Java,,,Веб-розробка;Фінанси та банки;eCommerce,Київ,Аутсорсингова,понад 1000,4 роки,2 роки,1800,450,Чоловік,32,Вища,ДНУ ім. Гончара,Intermediate
2019/12/10 12:08:10 PM GMT+2,QA Engineer,,,,General QA,C#,,,Веб-розробка;Фінанси та банки,Дніпро,Аутсорсингова,до 50,8 років,2 роки,1800,300,Жінка,32,Вища,ДНУ ім. Гончара,Upper-Intermediate
2019/12/16 2:57:46 AM GMT+2,Data Science,,,,,,,,Інше,Київ,Аутсорсингова,до 50,10 і більше років,Менше 3 місяців,1800,-800,Чоловік,32,Вища,КНУ ім. Шевченка,Intermediate
2019/12/03 11:34:49 AM GMT+2,QA Engineer,,,,Manual QA,Python,,,Desktop Applications;Веб-розробка;eCommerce,Віддалено,Продуктова,до 200,4 роки,2 роки,1800,400,Чоловік,33,Дві вищих,Інший виш,Upper-Intermediate
2019/12/03 1:13:22 PM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Embedded,Львів,Аутсорсингова,понад 1000,7 років,4 роки,1800,100,Чоловік,33,Вища,Львівська політехніка,Intermediate
2019/12/03 1:19:09 PM GMT+2,HR,,,,,,,Recruiter,Android;iOS;Веб-розробка,Київ,Аутсорсингова,понад 1000,5 років,4 роки,1800,200,Жінка,33,Вища,,Intermediate
2019/12/03 7:50:09 PM GMT+2,QA Engineer,,,,General QA,Python,,,Системне програмування;Інше,Одеса,Аутсорсингова,понад 1000,3 роки,3 роки,1800,200,Чоловік,33,Вища,ОНАЗ,Upper-Intermediate
2019/12/03 8:42:43 PM GMT+2,Software Engineer,JavaScript,Інша,jQuery,,,,,Веб-розробка;eCommerce,Чернігів,Аутсорсингова,до 200,6 років,Менше 3 місяців,1800,400,Чоловік,33,Вища,Інший виш,Upper-Intermediate
2019/12/04 12:37:56 AM GMT+2,Project Manager,,,,,,,,Веб-розробка,Львів,Аутсорсингова,до 200,1 рік,Менше 3 місяців,1800,250,Жінка,33,Кандидат,ЛНУ ім. Франка,Advanced
2019/12/07 11:35:58 PM GMT+2,Senior Software Engineer,PHP,SQL,jQuery,,,,,Корпоративні системи;Інше,Київ,Продуктова,до 10 спеціалістів,10 і більше років,8 років,1800,0,Чоловік,33,Вища,Інший виш,Pre-Intermediate
2019/12/14 3:54:05 PM GMT+2,Data Science,,,,,,,,Android;Веб-розробка;Корпоративні системи,Харків,Аутсорсингова,до 1000,1 рік,Менше 3 місяців,1800,1000,Чоловік,33,Кандидат,НТУ «ХПІ»,Upper-Intermediate
2019/12/15 9:49:54 AM GMT+2,Software Engineer,Java,Інша,.NET;Angular/Angular.js,,,,,Desktop Applications;Веб-розробка,Львів,Продуктова,до 1000,5 років,5 років,1800,0,Чоловік,33,Технікум / Коледж,Інший виш,Pre-Intermediate
2019/12/17 12:48:07 PM GMT+2,Sysadmin,,,,,,,,Корпоративні системи,Львів,Продуктова,до 200,9 років,2 роки,1800,500,Чоловік,33,Вища,ХНУРЕ,Intermediate
2019/12/25 11:36:05 PM GMT+2,Business Analyst,,,,,,,,Корпоративні системи,Дніпро,Аутсорсингова,понад 1000,4 роки,1 рік,1800,700,Жінка,33,Вища,ДНУ ім. Гончара,Upper-Intermediate
2019/12/03 1:56:25 PM GMT+2,QA Engineer,,,,Automation QA,Java,,,Інше,Київ,Продуктова,до 50,3 роки,2 роки,1800,300,Чоловік,34,Дві вищих,,Pre-Intermediate
2019/12/03 2:05:43 PM GMT+2,Software Engineer,PHP,JavaScript,symfony,,,,,Веб-розробка,Черкаси,Аутсорсингова,до 200,10 і більше років,10 і більше років,1800,0,Чоловік,34,Вища,Інший виш,Upper-Intermediate
2019/12/04 1:26:33 AM GMT+2,Technical writer,,,,,,,,Веб-розробка;Інше,Київ,Продуктова,до 1000,4 роки,Півроку,1800,0,Чоловік,34,Дві вищих,,Upper-Intermediate
2019/12/10 1:51:14 PM GMT+2,Software Engineer,Kotlin,Java,,,,,,Android,Одеса,Продуктова,до 50,2 роки,Півроку,1800,1000,Чоловік,34,Вища,ОНПУ,Pre-Intermediate
2019/12/19 11:29:16 PM GMT+2,Software Engineer,PHP,JavaScript,Symfony,,,,,Веб-розробка,Віддалено,Продуктова,до 50,8 років,3 роки,1800,200,Чоловік,34,Кандидат,Інший виш,Intermediate
2019/12/20 10:46:04 AM GMT+2,Designer,,,,,,Product Designer,,Веб-розробка;Корпоративні системи,Дніпро,Продуктова,до 50,10 і більше років,7 років,1800,500,Чоловік,34,Вища,ДНУЗТ,Intermediate
2020/01/01 1:08:12 PM GMT+2,Senior QA Engineer,,,,Manual QA,,,,Android;iOS;Веб-розробка,Львів,Аутстафінгова,до 1000,5 років,2 роки,1800,600,Жінка,34,Вища,Львівська політехніка,Upper-Intermediate
2019/12/03 12:10:19 PM GMT+2,Software Engineer,Java,Dart,Flutter;Android SDK,,,,,Android,Ужгород,Аутсорсингова,до 50,5 років,2 роки,1800,0,Чоловік,35,Вища,Інший виш,Intermediate
2019/12/03 7:06:07 PM GMT+2,Project Manager,,,,,,,,Android;iOS;Веб-розробка,Львів,Аутсорсингова,до 200,6 років,10 і більше років,1800,300,Жінка,35,Вища,Львівська політехніка,Upper-Intermediate
2019/12/03 7:21:09 PM GMT+2,Designer,,,,,,3D Artist,,Інше,Київ,Продуктова,до 1000,5 років,1 рік,1800,170,Чоловік,35,Дві вищих,Інший виш,Intermediate
2019/12/04 8:09:16 AM GMT+2,Project Manager,,,,,,,,Desktop Applications,Львів,Аутсорсингова,понад 1000,3 роки,Півроку,1800,300,Жінка,35,Вища,ЛНУ ім. Франка,Upper-Intermediate
2019/12/04 8:21:52 PM GMT+2,Software Engineer,C#/.NET,JavaScript,.NET Core;Angular/Angular.js;ASP.NET,,,,,Веб-розробка;Корпоративні системи,Дніпро,Продуктова,до 200,7 років,1 рік,1800,400,Жінка,35,Вища,ДНУЗТ,Pre-Intermediate
2019/12/04 8:55:06 PM GMT+2,Software Engineer,Python,Інша,,,,,,Системне програмування,Рівне,Аутсорсингова,понад 1000,6 років,2 роки,1800,400,Чоловік,35,Вища,Інший виш,Pre-Intermediate
2019/12/24 6:11:28 PM GMT+2,Senior QA Engineer,,,,General QA,Не використовую,,,Desktop Applications;Веб-розробка;eCommerce,Харків,Продуктова,до 10 спеціалістів,10 і більше років,Півроку,1800,-200,Чоловік,35,Дві вищих,ХНУРЕ,Pre-Intermediate
2020/01/02 7:01:21 PM GMT+2,Support,,,,,,,,Desktop Applications,Київ,Продуктова,до 1000,10 і більше років,2 роки,1800,400,Чоловік,35,Вища,КНУБА,Upper-Intermediate
2019/12/02 1:49:49 PM GMT+2,Software Engineer,PHP,JavaScript,Magento,,,,,Веб-розробка,Запоріжжя,Продуктова,до 50,2 роки,2 роки,1800,400,Чоловік,36,Вища,Інший виш,Intermediate
2019/12/03 2:10:54 PM GMT+2,QA Engineer,,,,Automation QA,C#,,,Веб-розробка;Корпоративні системи,Київ,Продуктова,до 50,3 роки,3 роки,1800,500,Чоловік,36,Вища,КНУБА,Upper-Intermediate
2019/12/03 8:40:26 PM GMT+2,QA Engineer,,,,General QA,Не використовую,,,Android;Веб-розробка,Київ,Аутсорсингова,до 200,4 роки,Півроку,1800,500,Чоловік,36,Вища,Інший виш,Upper-Intermediate
2019/12/05 12:12:50 PM GMT+2,Software Engineer,Java,Інша,Hadoop;Spring,,,,,Корпоративні системи,Київ,Аутсорсингова,понад 1000,9 років,Півроку,1800,200,Чоловік,36,Вища,НТУУ «КПІ»,Intermediate
2019/12/14 12:20:44 AM GMT+2,DevOps,,,,,,,,Корпоративні системи,Львів,Продуктова,до 200,10 і більше років,8 років,1800,0,Чоловік,36,Вища,Інший виш,Intermediate
2020/01/02 7:56:10 AM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Веб-розробка;Телекомунікації,Київ,Продуктова,до 200,3 роки,2 роки,1800,600,Жінка,36,Дві вищих,НАУ,Intermediate
2019/12/03 11:39:52 AM GMT+2,Technical writer,,,,,,,,Android;iOS;Веб-розробка,Київ,Стартап,до 50,5 років,2 роки,1800,200,Жінка,37,Вища,НаУКМА,Upper-Intermediate
2019/12/03 12:10:01 PM GMT+2,Software Engineer,JavaScript,JavaScript,Angular/Angular.js;React.js,,,,,Фінанси та банки,Київ,Аутсорсингова,до 1000,2 роки,2 роки,1800,800,Жінка,37,Дві вищих,ДНУ ім. Гончара,Intermediate
2019/12/03 1:40:00 PM GMT+2,QA Tech Lead,,,,Manual QA,C#,,,Веб-розробка,Київ,Продуктова,до 50,3 роки,2 роки,1800,600,Жінка,37,Вища,,Pre-Intermediate
2019/12/03 2:32:03 PM GMT+2,Senior Software Engineer,Kotlin,Dart,Flutter,,,,,Android,Запоріжжя,Аутсорсингова,до 50,4 роки,2 роки,1800,100,Чоловік,37,Вища,,Intermediate
2019/12/04 12:19:49 PM GMT+2,Project Manager,,,,,,,,Корпоративні системи,Київ,Продуктова,до 200,10 і більше років,10 і більше років,1800,300,Жінка,37,Дві вищих,КНЕУ,Intermediate
2019/12/04 7:41:48 PM GMT+2,QA Engineer,,,,General QA,Java,,,Інше,Київ,Аутсорсингова,понад 1000,3 роки,3 роки,1800,300,Чоловік,37,Технікум / Коледж,,Upper-Intermediate
2019/12/12 9:03:41 AM GMT+2,QA Engineer,,,,General QA,Java,,,Gamedev,Дніпро,Продуктова,до 1000,4 роки,1 рік,1800,0,Чоловік,37,Вища,Інший виш,Upper-Intermediate
2019/12/03 1:58:39 PM GMT+2,Software Engineer,PHP,Інша,jQuery;Laravel,,,,,Веб-розробка,Віддалено,Аутсорсингова,до 200,10 і більше років,2 роки,1800,300,Чоловік,38,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/04 2:38:51 PM GMT+2,HR,,,,,,,HR Manager,Gamedev,Київ,Продуктова,до 10 спеціалістів,5 років,3 місяці,1800,300,Жінка,39,Дві вищих,,Upper-Intermediate
2019/12/18 7:57:27 PM GMT+2,QA Engineer,,,,General QA,Іншу,,,iOS,Одеса,Продуктова,до 200,4 роки,1 рік,1800,200,Чоловік,42,Вища,,Intermediate
2019/12/24 11:22:33 AM GMT+2,QA Engineer,,,,Automation QA,JavaScript,,,Desktop Applications,Віддалено,Інша,до 10 спеціалістів,2 роки,2 роки,1800,500,Жінка,42,Кандидат,ХНУ ім. Каразіна,Pre-Intermediate
2019/12/23 10:04:59 PM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Фінанси та банки;eCommerce;Корпоративні системи,Київ,Продуктова,до 200,5 років,Менше 3 місяців,1800,300,Чоловік,46,Вища,ДонНТУ,Intermediate
2019/12/03 5:35:30 PM GMT+2,QA Engineer,,,,Automation QA,C#,,,Веб-розробка,Київ,Аутстафінгова,понад 1000,2 роки,2 роки,1785,550,Жінка,22,Вища,НТУУ «КПІ»,Intermediate
2019/12/04 11:25:44 AM GMT+2,Project Manager,,,,,,,,eCommerce;Корпоративні системи,Київ,Інша,до 10 спеціалістів,10 і більше років,6 років,1784,372,Чоловік,34,Вища,НАУ,Intermediate
2019/12/24 10:30:23 AM GMT+2,Software Engineer,Python,JavaScript,Django;Flask;React.js,,,,,Веб-розробка;Корпоративні системи;Інше,Київ,Аутстафінгова,понад 1000,4 роки,3 роки,1780,150,Чоловік,22,Ще студент,НТУУ «КПІ»,Upper-Intermediate
2019/12/09 5:28:04 PM GMT+2,Project Manager,,,,,,,,Веб-розробка;eCommerce,Київ,Аутсорсингова,до 1000,2 роки,2 роки,1771,332,Жінка,25,Вища,Інший виш,Advanced
2019/12/03 3:36:36 PM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Desktop Applications,Львів,Аутсорсингова,понад 1000,6 років,6 років,1770,100,Жінка,32,Дві вищих,ЛНУ ім. Франка,Intermediate
2019/12/03 10:56:51 PM GMT+2,Software Engineer,Python,Не використовую,Flask;Sanic,,,,,Веб-розробка;Корпоративні системи,Львів,Аутсорсингова,понад 1000,1 рік,1 рік,1770,570,Чоловік,41,Вища,ЛНУ ім. Франка,Upper-Intermediate
2019/12/03 2:10:04 PM GMT+2,QA Engineer,,,,Automation QA,Java,,,Веб-розробка,Львів,Аутсорсингова,понад 1000,2 роки,2 роки,1767,767,Чоловік,26,Вища,Львівська політехніка,Intermediate
2019/12/05 4:14:09 PM GMT+2,Software Engineer,PHP,JavaScript,Angular/Angular.js;Laravel,,,,,Веб-розробка;eCommerce,Одеса,Стартап,до 10 спеціалістів,2 роки,2 роки,1760,160,Чоловік,25,Вища,,Upper-Intermediate
2019/12/03 5:20:00 PM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Android;iOS;Фінанси та банки,Київ,Аутсорсингова,до 200,2 роки,2 роки,1757,902,Жінка,23,Вища,НАУ,Upper-Intermediate
2019/12/03 11:10:15 AM GMT+2,Software Engineer,Kotlin,Java,,,,,,Android,Львів,Продуктова,до 10 спеціалістів,4 роки,1 рік,1757,237,Чоловік,26,Вища,Львівська політехніка,Upper-Intermediate
2019/12/08 5:37:17 PM GMT+2,Data Science,,,,,,,,Інше,Київ,Аутсорсингова,до 10 спеціалістів,2 роки,2 роки,1750,1250,Чоловік,21,Ще студент,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 3:24:33 PM GMT+2,Software Engineer,JavaScript,Не використовую,Node.js;React.js;Vue.js,,,,,Веб-розробка,Київ,Продуктова,до 1000,4 роки,Півроку,1750,350,Жінка,22,Вища,СумДУ,Intermediate
2019/12/03 2:25:27 PM GMT+2,QA Engineer,,,,General QA,Не використовую,,,Веб-розробка,Львів,Аутсорсингова,понад 1000,3 роки,Півроку,1750,350,Чоловік,23,Ще студент,Львівська політехніка,Intermediate
2019/12/24 4:27:27 PM GMT+2,Software Engineer,C#/.NET,Не використовую,.NET;Unity 3D,,,,,Desktop Applications;Gamedev;Мультимедіа,Харків,Аутсорсингова,до 200,4 роки,4 роки,1750,300,Чоловік,23,Вища,ХНУРЕ,Intermediate
2019/12/03 12:33:43 PM GMT+2,DevOps,,,,,,,,Gamedev,Київ,Продуктова,до 1000,1 рік,1 рік,1750,200,Чоловік,24,Вища,ВНТУ,Pre-Intermediate
2019/12/15 7:00:55 PM GMT+2,Software Engineer,PHP,JavaScript,jQuery;Laravel;Vue.js,,,,,Веб-розробка,Харків,Аутсорсингова,до 50,4 роки,2 роки,1750,0,Жінка,24,Вища,ХНУРЕ,Intermediate
2019/12/03 4:41:52 PM GMT+2,Software Engineer,Ruby,JavaScript,jQuery;Ruby on Rails,,,,,Веб-розробка;Корпоративні системи,Івано-Франківськ,Аутсорсингова,до 50,4 роки,2 роки,1750,600,Чоловік,25,Вища,,Upper-Intermediate
2019/12/03 9:36:42 PM GMT+2,Senior QA Engineer,,,,Manual QA,,,,Desktop Applications,Львів,Продуктова,до 1000,4 роки,Півроку,1750,650,Чоловік,25,Вища,,Upper-Intermediate
2019/12/03 11:46:11 AM GMT+2,Software Engineer,PHP,JavaScript,Vue.js,,,,,Веб-розробка,Харків,Продуктова,до 50,4 роки,2 роки,1750,200,Чоловік,26,Вища,ДонНТУ,Upper-Intermediate
2019/12/03 11:35:54 PM GMT+2,QA Engineer,,,,General QA,Не використовую,,,iOS;Desktop Applications;Веб-розробка,Харків,Аутсорсингова,понад 1000,7 років,4 роки,1750,0,Чоловік,27,Незакінчена вища,Інший виш,Advanced
2019/12/04 1:46:29 PM GMT+2,Software Engineer,Python,Не використовую,,,,,,Фінанси та банки;Корпоративні системи,Львів,Продуктова,до 10 спеціалістів,5 років,1 рік,1750,150,Чоловік,27,Вища,ЛНУ ім. Франка,Upper-Intermediate
2019/12/28 11:37:23 AM GMT+2,Data Analyst,,,,,,,,Інше,Київ,Інша,до 50,4 роки,4 роки,1750,100,Чоловік,27,Дві вищих,Інший виш,Upper-Intermediate
2019/12/03 8:57:12 PM GMT+2,Project Manager,,,,,,,,Android;iOS;Веб-розробка,Харків,Аутсорсингова,до 50,3 роки,1 рік,1750,250,Чоловік,28,Вища,ХНЕУ,Advanced
2019/12/03 11:32:58 AM GMT+2,Senior QA Engineer,,,,Manual QA,Не використовую,,,Інше,Херсон,Аутстафінгова,понад 1000,6 років,3 роки,1750,300,Чоловік,30,Вища,,Intermediate
2019/12/03 11:08:41 PM GMT+2,Technical writer,,,,,,,,Android;Embedded;Телекомунікації,Львів,Аутсорсингова,понад 1000,2 роки,2 роки,1750,200,Жінка,31,Вища,ЛНУ ім. Франка,Advanced
2019/12/06 6:29:33 PM GMT+2,Data Analyst,,,,,,,,eCommerce,Одеса,Аутстафінгова,до 50,3 роки,2 роки,1750,200,Жінка,31,Кандидат,ОНУ ім. Мечникова,Pre-Intermediate
2019/12/03 11:46:34 AM GMT+2,Designer,,,,,,Designer,,Веб-розробка;Мультимедіа,Хмельницький,Продуктова,до 50,7 років,5 років,1750,250,Чоловік,34,Вища,ХНУ [м. Хмельницький],Upper-Intermediate
