"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
156,"Киев",6100,0,"Team/Technical Lead",10,3,"Other",,39,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 10 человек","Продуктовая","Інша"
157,"Киев",6080,1730,"Director of Engineering / Program Director",10,1,,,27,"мужской","Высшее","НАУ","False","выше среднего","до 10 человек","Продуктовая","Travel"
158,"Киев",6000,-500,"Director of Engineering / Program Director",10,2,,,34,"мужской","Два высших","НТУУ «КПИ»","False","продвинутый","свыше 1000 человек","Аутсорсинговая","AR/VR, Automotive, Machine Learning"
159,"Киев",6000,4000,"Director of Engineering / Program Director",10,0,,,38,"мужской","Высшее","Другой вуз","False","средний","до 10 человек","Стартап","Blockchain, Fintech, High Load Systems"
160,"Харьков",6000,3000,"Sales manager",4,2,,,31,"мужской","Высшее","НТУ «ХПИ»","False","выше среднего","до 1000 человек","Аутстаффинговая","E-commerce, Fintech, Medtech"
161,"Киев",6000,0,"Senior Project manager / Program Manager",9,6,,,32,"мужской","Высшее","Львовская Политехника","False","средний","до 200 человек","Продуктовая","Big Data, Інша"
162,"Киев",6000,900,"Senior Software Engineer",7,2,"Python",,29,"мужской","Высшее","НАУ","False","продвинутый","до 50 человек","Продуктовая","Інша"
163,"Киев",6000,500,"Senior Software Engineer",10,3,"Java",,34,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 50 человек","Продуктовая","Інша"
164,"Киев",6000,3000,"Senior Software Engineer",5,1,"JavaScript",,27,"мужской","Высшее","КНУ им. Шевченко","False","выше среднего","до 10 человек","Стартап","E-commerce, Fintech, Інша"
165,"Киев",6000,500,"Team/Technical Lead",10,2,"JavaScript",,32,"мужской","Высшее","КНУ им. Шевченко","False","выше среднего","до 10 человек","Продуктовая","Adtech"
166,"Киев",6000,800,"Team/Technical Lead",7,2,"Objective-C",,26,"мужской","Высшее","ХНУРЭ","False","выше среднего","до 1000 человек","Продуктовая","E-commerce, Media, Mobile"
167,"Киев",6000,1000,"Director of Engineering / Program Director",2,4,,,34,"мужской","Высшее","ДонНТУ","False","средний","до 50 человек","Продуктовая","Security"
168,"Киев",6000,500,"Team/Technical Lead",10,"0.5","Java",,30,"мужской","Среднее",,"False","средний","свыше 1000 человек","Аутсорсинговая","Fintech"
169,"Одесса",6000,0,"System Architect",10,2,"C#/.NET",,37,"мужской","Высшее",,"False","продвинутый","свыше 1000 человек","Другая","Automotive, Cloud Computing"
170,"Киев",6000,1000,"Team/Technical Lead",7,0,"Java",,31,"мужской","Высшее","Другой вуз","False","продвинутый","до 200 человек","Аутстаффинговая","Cloud Computing, High Load Systems"
171,"Харьков",6000,0,"Senior Project manager / Program Manager",10,1,,,35,"мужской","Высшее","НТУ «ХПИ»","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Gambling, Media"
172,"Киев",6000,1000,"Team/Technical Lead",10,"0.5","TypeScript",,35,"мужской","Незаконченное высшее","ОНПУ","False","выше среднего","до 1000 человек","Аутстаффинговая","Adtech"
173,"Львов",6000,0,"System Architect",10,2,"Java",,34,"мужской","Высшее","НТУ «ХПИ»","False","выше среднего","свыше 1000 человек","Аутстаффинговая","Fintech, Logistics, Robotics"
174,"Киев",6000,150,"Senior Software Engineer",10,2,"PHP",,34,"мужской","Высшее","ЧНТУ","False","продвинутый","до 200 человек","Продуктовая","Automotive, E-commerce"
175,"Киев",6000,500,"Team/Technical Lead",10,2,"TypeScript",,34,"мужской","Незаконченное высшее","НАУ","False","продвинутый","до 1000 человек","Аутстаффинговая","Travel"
176,"Киев",6000,500,"Senior Software Engineer",7,2,"JavaScript",,32,"мужской","Высшее","ДНУЖТ","False","ниже среднего","до 200 человек","Продуктовая","E-commerce, Fintech"
177,"Львов",6000,-500,"System Architect",10,9,"C#/.NET",,36,"мужской","Высшее","ЛНУ им. Франко","False","выше среднего","свыше 1000 человек","Продуктовая","Embedded, Hardware, Internet of Things"
178,"Киев",6000,400,"System Architect",10,5,"Ruby/Rails",,36,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Аутсорсинговая","Cloud Computing, Fintech"
179,"Киев",6000,0,"DevOps",10,"0.5",,,45,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Аутстаффинговая","Blockchain, Data Science, Machine Learning"
180,"Киев",6000,1500,"Team/Technical Lead",9,4,"Clojure",,32,"мужской","Высшее","ЧНТУ","False","продвинутый","до 50 человек","Продуктовая","E-commerce"
181,"Киев",6000,1000,"Product Owner",10,4,,,36,"мужской","Высшее","Другой вуз","False","продвинутый","свыше 1000 человек","Продуктовая","E-commerce"
182,"Киев",6000,500,"Senior Software Engineer",8,4,"Scala",,28,"мужской","Высшее","ДонНТУ","False","выше среднего","до 50 человек","Аутстаффинговая","Adtech"
