"Город","Зарплата.в.месяц","Изменение.зарплаты","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Уровень.английского","Размер.компании"
"109","Харьков",2700,500,"Senior Software Engineer",6.5,0.75,"C#/.NET","",28,"мужской","Высшее","выше среднего","до 200 человек"
"110","Харьков",1000,0,"Software Engineer",4,3.5,"JavaScript","",24,"мужской","Высшее","ниже среднего","до 1000 человек"
"111","Киев",2800,300,"Team lead",4,1,"","",30,"мужской","Высшее","выше среднего","до 10 человек"
"112","Днепр.",900,1500,"Software Engineer",1,0.25,"Objective-C","",29,"женский","Два высших","средний","до 10 человек"
"113","Донецк",350,160,"Project manager",1.25,1.25,"","",24,"мужской","Незаконченное высшее","ниже среднего","до 10 человек"
"114","Киев",1600,0,"Senior Software Engineer",5,1.5,"PHP","",27,"мужской","Высшее","средний","до 50 человек"
"115","Киев",2900,400,"Senior QA engineer",3.5,2.5,"","Automation QA",26,"мужской","Высшее","средний","свыше 1000 человек"
"116","Симферополь",2000,500,"Software Engineer",3,2.5,"Objective-C","",24,"мужской","Высшее","выше среднего","до 50 человек"
"117","Харьков",2000,0,"Software Engineer",4,1,"C#/.NET","",26,"мужской","Высшее","выше среднего","свыше 1000 человек"
"118","Киев",1300,300,"Software Engineer",2.5,1,"PHP","",22,"женский","Незаконченное высшее","выше среднего","до 50 человек"
"119","Киев",4000,1000,"Senior Software Engineer",6,0.5,"Java","",26,"мужской","Высшее","выше среднего","до 200 человек"
"120","Киев",3500,500,"Team lead",6,3.5,"","",25,"мужской","Высшее","средний","до 50 человек"
"121","Киев",2280,280,"Senior Software Engineer",10,3.5,"PHP","",33,"мужской","Высшее","выше среднего","свыше 1000 человек"
"122","Киев",1100,100,"Team lead",7,5,"","",30,"женский","Высшее","выше среднего","до 50 человек"
"123","Одесса",3400,600,"Team lead",10,4,"","",37,"мужской","Два высших","продвинутый","до 200 человек"
"124","Донецк",2700,700,"Technical Lead",7,3.5,"C#/.NET","",28,"мужской","Высшее","продвинутый","до 50 человек"
"125","Харьков",2500,300,"Senior Software Engineer",8,0.5,"Objective-C","",34,"мужской","Высшее","средний","до 50 человек"
"126","Киев",2000,600,"Software Engineer",3,0.5,"PHP","",25,"мужской","Высшее","выше среднего","до 1000 человек"
"127","Харьков",1045,500,"Software Engineer",2.5,2.5,"C++","",24,"мужской","Высшее","средний","до 200 человек"
"128","Запорожье",800,800,"Junior Software Engineer",1,1,"Java","",28,"мужской","Высшее","продвинутый","до 200 человек"
"129","Львов",3500,600,"Team lead",8.5,6,"","",30,"мужской","Высшее","выше среднего","до 1000 человек"
"130","Львов",2600,200,"Senior Software Engineer",7,1,"SQL","",25,"мужской","Незаконченное высшее","продвинутый","свыше 1000 человек"
"131","Одесса",1500,200,"Software Engineer",3,0.75,"C#/.NET","",24,"мужской","Высшее","выше среднего","до 50 человек"
"132","Харьков",1000,500,"Software Engineer",1.5,0,"C#/.NET","",23,"мужской","Высшее","ниже среднего","до 200 человек"
"133","Киев",1600,500,"Software Engineer",2.5,2.5,"C#/.NET","",23,"мужской","Высшее","элементарный","до 10 человек"
"134","Харьков",1900,100,"Junior Software Engineer",6,3,"PHP","",27,"мужской","Высшее","средний","до 10 человек"
"135","Харьков",2100,600,"Senior Software Engineer",2.5,1,"Objective-C","",24,"мужской","Высшее","средний","до 200 человек"
"136","Киев",2650,1150,"Senior Software Engineer",2,1.75,"JavaScript","",29,"мужской","Незаконченное высшее","средний","свыше 1000 человек"
"137","Киев",1200,400,"Software Engineer",6,0.5,"Delphi","",34,"мужской","Незаконченное высшее","ниже среднего","до 10 человек"
"138","Киев",5000,500,"Senior Software Engineer",5,4,"PHP","",26,"мужской","Незаконченное высшее","элементарный","до 10 человек"
"139","Харьков",1200,0,"Software Engineer",8,1.25,"Delphi","",33,"мужской","Высшее","ниже среднего","до 1000 человек"
"140","Харьков",800,0,"Системный администратор",7,7,"","",30,"мужской","Высшее","средний","до 1000 человек"
"141","Донецк",1163,150,"Software Engineer",4.5,4,"C#/.NET","",27,"мужской","Высшее","средний","до 50 человек"
"142","Харьков",2500,200,"Junior Software Engineer",7,4,"Java","",28,"мужской","Высшее","средний","до 200 человек"
"143","Харьков",1800,800,"Software Engineer",2,2,"C#/.NET","",21,"мужской","Незаконченное высшее","средний","до 1000 человек"
"144","Киев",5700,2000,"System Architect",8,0,"JavaScript","",29,"мужской","Высшее","продвинутый","до 50 человек"
"145","Харьков",1700,300,"Дизайнер",3,1,"","",24,"мужской","Высшее","выше среднего","до 50 человек"
"146","Киев",3400,300,"Senior Software Engineer",10,0.5,"C#/.NET","",39,"мужской","Незаконченное высшее","выше среднего","до 10 человек"
"147","Харьков",2900,0,"Technical Lead",8,3,"C#/.NET","",29,"мужской","Высшее","выше среднего","до 200 человек"
"148","Харьков",2091,400,"Senior Software Engineer",4.5,2.5,"C#/.NET","",26,"мужской","Высшее","выше среднего","свыше 1000 человек"
"149","Харьков",1700,800,"Software Engineer",1.5,0.25,"C#/.NET","",22,"мужской","Высшее","ниже среднего","до 50 человек"
"150","Киев",3200,0,"Project manager",3,5,"","",27,"мужской","Кандидат","выше среднего","свыше 1000 человек"
"151","Харьков",1800,1000,"Software Engineer",2,0.5,"C#/.NET","",21,"мужской","Незаконченное высшее","средний","до 200 человек"
