"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"95","Киев",1500,1000,"Software Engineer",1.5,0,"Python","",33,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"96","Другой",1700,500,"Software Engineer",3,2,"PHP","",24,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 50 человек","Аутсорсинговая","Веб-разработка"
"97","Киев",3200,0,"Senior Software Engineer",10,1,"Java","",31,"мужской","Высшее","ДонНТУ","False","элементарный","до 50 человек","Стартап","Корпоративные системы,Другое"
"98","Винница",1300,200,"Senior Software Engineer",10,0,"Python","",37,"мужской","Высшее","Другой вуз","False","средний","до 10 человек","Продуктовая","eCommerce"
"99","Винница",600,400,"Junior QA engineer",1.5,0,"","Manual QA",23,"мужской","Высшее","ВНТУ","False","ниже среднего","до 200 человек","Аутсорсинговая","iOS,Веб-разработка"
"100","Киев",1200,325,"QA engineer",3,1,"","Manual QA",32,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка"
"101","Винница",3100,100,"Senior Software Engineer",8,5,"JavaScript","",33,"мужской","Высшее","ДонНТУ","False","ниже среднего","до 200 человек","Аутсорсинговая","Веб-разработка"
"102","Киев",1964,-50,"Project manager",4,1,"","",30,"мужской","Два высших","КНУТД","False","средний","до 50 человек","Другая","Корпоративные системы,Другое"
"103","Харьков",600,250,"Junior QA engineer",3,0,"","General QA",25,"мужской","Высшее","ХНУ им. Каразина","False","средний","до 50 человек","Продуктовая","Веб-разработка"
"104","Львов",1500,650,"Junior Software Engineer",1.5,1,"Java","",27,"мужской","Высшее","КНЭУ","False","средний","свыше 1000 человек","Аутсорсинговая","Телекоммуникации"
"105","Черновцы",750,450,"QA engineer",1.5,1.5,"","Manual QA",22,"женский","Высшее","Другой вуз","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка"
"106","Удаленно",1600,800,"Software Engineer",3,1.5,"C#/.NET","",31,"мужской","Два высших","ВНУ им. Даля","False","выше среднего","до 10 человек","Другая","Веб-разработка"
"107","Львов",2200,400,"Software Engineer",4,1,"Ruby/Rails","",30,"мужской","Высшее","Другой вуз","False","выше среднего","до 10 человек","Продуктовая","Веб-разработка"
"108","Харьков",3000,0,"Technical Lead",10,10,"C#/.NET","",40,"мужской","Высшее","ХНУРЭ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Корпоративные системы"
"109","Львов",1710,1110,"Software Engineer",2,2,"JavaScript","",26,"мужской","Высшее","Львовская Политехника","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"110","Харьков",1900,400,"Software Engineer",4,1,"Swift","",27,"мужской","Высшее","НТУ «ХПИ»","False","средний","до 200 человек","Аутстаффинговая","iOS,eCommerce"
"111","Киев",1900,400,"Software Engineer",2,0.5,"Java","",29,"мужской","Высшее","ГУТ","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка,Финансы и банки"
"112","Киев",1500,500,"Software Engineer",2,1,"Java","",32,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Аутстаффинговая","Android"
"113","Херсон",500,0,"Junior QA engineer",0.25,0.25,"","Manual QA",20,"мужской","Незаконченное высшее","ОНПУ","True","средний","свыше 1000 человек","Аутсорсинговая","Другое"
"114","Киев",1700,200,"Software Engineer",4,1.5,"C#/.NET","",25,"мужской","Два высших","Другой вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Desktop Applications,Системное программирование"
"115","Киев",2000,1200,"Software Engineer",1.5,1.5,"Ruby/Rails","",22,"мужской","Незаконченное высшее","КНУ им. Шевченко","True","выше среднего","до 50 человек","Продуктовая","Веб-разработка,eCommerce"
"116","Винница",2800,800,"Software Engineer",5,0,"JavaScript","",31,"мужской","Высшее","ВНТУ","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"117","Одесса",1900,300,"Software Engineer",3,1.5,"C#/.NET","",23,"мужской","Высшее","ОНУ им. Мечникова","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"118","Харьков",4500,500,"Technical Lead",9,0.5,"C#/.NET","",30,"мужской","Высшее","НТУ «ХПИ»","False","выше среднего","до 1000 человек","Продуктовая","eCommerce"
"119","Киев",600,200,"Junior Software Engineer",2,2,"Objective-C","",22,"мужской","Незаконченное высшее","НТУУ «КПИ»","True","выше среднего","до 50 человек","Аутсорсинговая","iOS"
"120","Одесса",1500,300,"Software Engineer",2,0,"PHP","",31,"мужской","Высшее","Другой вуз","False","ниже среднего","до 50 человек","Продуктовая","Веб-разработка"
"121","Киев",2200,1150,"Software Engineer",4,0.5,"PHP","",34,"мужской","Высшее","Другой вуз","False","средний","до 10 человек","Аутсорсинговая","Веб-разработка"
"122","Киев",3500,1000,"Senior Software Engineer",5,0.25,"Java","",24,"мужской","Незаконченное высшее","Другой вуз","False","средний","до 1000 человек","Аутсорсинговая","Веб-разработка"
"123","Харьков",3000,1500,"Senior Software Engineer",5,0.5,"Java","",24,"мужской","Высшее","ХНУРЭ","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"124","Черновцы",1400,300,"Senior QA engineer",3,3,"","Manual QA",24,"женский","Высшее","Другой вуз","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"125","Черновцы",500,0,"Junior Software Engineer",0.5,0.5,"Java","",25,"мужской","Высшее","Другой вуз","False","средний","до 200 человек","Аутсорсинговая","Android"
"126","Одесса",3000,0,"Software Engineer",5,2,"C++","",42,"мужской","Высшее","Другой вуз","False","средний","до 50 человек","Продуктовая","Телекоммуникации"
"127","Львов",2300,1000,"Software Engineer",3,0.5,"C#/.NET","",27,"мужской","Высшее","Другой вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Системное программирование"
"128","Киев",2000,500,"Software Engineer",3,1,"JavaScript","",28,"мужской","Высшее","НУПТ","False","средний","до 200 человек","Продуктовая","Веб-разработка"
"129","Черновцы",750,450,"QA engineer",1.5,1.5,"","General QA",31,"мужской","Высшее","Другой вуз","False","средний","до 1000 человек","Аутсорсинговая","Android,Веб-разработка"
"130","Харьков",300,0,"Junior Software Engineer",0.5,0.5,"Java","",31,"женский","Высшее","ХАИ","False","выше среднего","до 10 человек","Аутсорсинговая","Android"
"131","Киев",1100,0,"Software Engineer",10,0.5,"C#/.NET","",39,"мужской","Среднее","","False","ниже среднего","до 10 человек","Продуктовая","Desktop Applications"
"132","Харьков",1250,-100,"QA engineer",4,4,"","Manual QA",25,"мужской","Высшее","НТУ «ХПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","iOS,Веб-разработка"
"133","Киев",800,300,"Data Scientist / Data Analyst",1,1,"","",28,"мужской","Высшее","Другой вуз","False","выше среднего","до 1000 человек","Продуктовая","eCommerce,Корпоративные системы"
"134","Николаев",1100,300,"Software Engineer",2,0,"Java","",25,"мужской","Незаконченное высшее","НУК","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка,eCommerce"
