"Город","Зарплата.в.месяц","Изменение.зарплаты","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"81","Харьков",2200,700,"Software Engineer",3,0.25,"C#/.NET","",26,"мужской","Незаконченное высшее","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"82","Киев",3900,500,"Senior Software Engineer",6,2,"Objective-C","",26,"мужской","Высшее","False","средний","до 10 человек","Продуктовая","iOS"
"83","Киев",2800,0,"Senior Software Engineer",10,5,"C#/.NET","",32,"мужской","Высшее","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"84","Харьков",1700,0,"Senior Software Engineer",6.5,5,"JavaScript","",25,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Веб-разработка"
"85","Днепр.",900,0,"Junior QA engineer",2.5,0.75,"","Manual QA",24,"женский","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Финансы и банки"
"86","Харьков",1800,0,"Верстальщик",6.5,5.5,"","",29,"мужской","Два высших","False","ниже среднего","до 200 человек","Аутсорсинговая","Веб-разработка"
"87","Киев",3500,0,"Senior Software Engineer",10,4,"Objective-C","",38,"мужской","Высшее","False","элементарный","до 50 человек","Продуктовая","Desktop Applications"
"88","Киев",1400,200,"Software Engineer",2.5,2.5,"Java","",24,"мужской","Высшее","False","средний","свыше 1000 человек","Продуктовая","Android"
"89","Днепр.",1150,200,"Team lead",3,3,"","",26,"мужской","Высшее","False","средний","до 1000 человек","Аутстаффинговая","Android,iOS"
"90","Львов",300,0,"Junior Software Engineer",1,0.5,"Python","",19,"мужской","Незаконченное высшее","True","средний","свыше 1000 человек","Аутсорсинговая","Финансы и банки,Другое"
"91","Киев",3500,0,"Senior Software Engineer",10,1,"Perl","",33,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"92","Киев",4000,0,"Technical Lead",7.5,2,"Java","",28,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Телекоммуникации,Корпоративные системы"
"93","Харьков",1300,600,"Software Engineer",1.5,1.5,"JavaScript","",21,"мужской","Незаконченное высшее","True","средний","до 200 человек","Продуктовая","Веб-разработка"
"94","Киев",4400,600,"Senior Software Engineer",6.5,1.25,"C++","",27,"мужской","Незаконченное высшее","True","ниже среднего","до 50 человек","Продуктовая","Системное программирование"
