"city","experience","salary","position","freq"
"Дніпро","7-10 років","500 - 1000","Technical writer",1
"Дніпро","7-10 років","5500 - 6000","DevOps Engineer",1
"Дніпро","7-10 років","6500 +","CTO",1
"Дніпро","До року","0 - 500","Graphic Designer",1
"Дніпро","До року","0 - 500","SysAdmin",1
"Дніпро","До року","1000 - 1500","Project Manager",1
"Дніпро","До року","1000 - 1500","Site Reliability Engineer",1
"Дніпро","До року","1500 - 2000","Concept artist",1
"Дніпро","До року","1500 - 2000","Project Manager",1
"Дніпро","До року","2000 - 2500","Business Analyst",1
"Дніпро","До року","3000 - 3500","DevOps Engineer",1
"Дніпро","До року","4000 - 4500","Product Marketing Manager",1
"Дніпро","До року","500 - 1000","Data Scientist",1
"Дніпро","До року","500 - 1000","DevOps Engineer",1
"Дніпро","До року","500 - 1000","Game Developer",1
"Дніпро","До року","500 - 1000","Product Owner",1
"Дніпро","До року","500 - 1000","Project Manager",2
"Дніпро","До року","500 - 1000","Support",2
"Дніпро","До року","500 - 1000","System Analyst",1
"Дніпро","До року","500 - 1000","Talent Acquisition Manager",1
"Івано-Франківськ","1-3 роки","0 - 500","Business Analyst",1
"Івано-Франківськ","1-3 роки","0 - 500","Data Engineer / Big Data Engineer",1
"Івано-Франківськ","1-3 роки","0 - 500","Recruiter",1
"Івано-Франківськ","1-3 роки","1000 - 1500","2D Artist",1
"Івано-Франківськ","1-3 роки","1000 - 1500","Business Analyst",1
"Івано-Франківськ","1-3 роки","1000 - 1500","Data Engineer / Big Data Engineer",1
"Івано-Франківськ","1-3 роки","1000 - 1500","DevOps Engineer",1
"Івано-Франківськ","1-3 роки","1000 - 1500","Employer Brand Manager",1
"Івано-Франківськ","1-3 роки","1000 - 1500","Game Developer",1
"Івано-Франківськ","1-3 роки","1000 - 1500","HR Manager",2
"Івано-Франківськ","1-3 роки","1000 - 1500","Machine Learning Engineer",2
"Івано-Франківськ","1-3 роки","1000 - 1500","Project Manager",2
"Івано-Франківськ","1-3 роки","1000 - 1500","Recruiter",1
"Івано-Франківськ","1-3 роки","1000 - 1500","Sales Manager",1
"Івано-Франківськ","1-3 роки","1000 - 1500","Support",4
"Івано-Франківськ","1-3 роки","1000 - 1500","UI / UX Designer",2
"Івано-Франківськ","1-3 роки","1500 - 2000","3D Artist",3
"Івано-Франківськ","1-3 роки","1500 - 2000","Business Analyst",3
"Івано-Франківськ","1-3 роки","1500 - 2000","Copywriter",1
"Івано-Франківськ","1-3 роки","1500 - 2000","Data Analyst",2
"Івано-Франківськ","1-3 роки","1500 - 2000","Data Engineer / Big Data Engineer",1
"Івано-Франківськ","1-3 роки","1500 - 2000","Data Scientist",1
"Івано-Франківськ","1-3 роки","1500 - 2000","DevOps Engineer",2
"Івано-Франківськ","1-3 роки","1500 - 2000","Product Manager",1
"Івано-Франківськ","1-3 роки","1500 - 2000","Project Manager",2
"Івано-Франківськ","1-3 роки","1500 - 2000","Recruiter",2
"Івано-Франківськ","1-3 роки","1500 - 2000","SEO Specialist",1
"Івано-Франківськ","1-3 роки","1500 - 2000","UI / UX Designer",2
"Івано-Франківськ","1-3 роки","2000 - 2500","3D Artist",1
"Івано-Франківськ","1-3 роки","2000 - 2500","Business Analyst",1
"Івано-Франківськ","1-3 роки","2000 - 2500","Data Engineer / Big Data Engineer",1
"Івано-Франківськ","1-3 роки","2000 - 2500","DevOps Engineer",2
"Івано-Франківськ","1-3 роки","2000 - 2500","Product Analyst",1
"Івано-Франківськ","1-3 роки","2000 - 2500","Project Manager",2
"Івано-Франківськ","1-3 роки","2500 - 3000","BI Engineer",1
"Івано-Франківськ","1-3 роки","2500 - 3000","Business Analyst",1
"Івано-Франківськ","1-3 роки","2500 - 3000","Data Analyst",1
"Івано-Франківськ","1-3 роки","2500 - 3000","Data Engineer / Big Data Engineer",1
"Івано-Франківськ","1-3 роки","2500 - 3000","Product Manager",1
"Івано-Франківськ","1-3 роки","2500 - 3000","Product Owner",1
"Івано-Франківськ","1-3 роки","2500 - 3000","Support",1
"Івано-Франківськ","1-3 роки","3000 - 3500","BI Analyst",1
"Івано-Франківськ","1-3 роки","3000 - 3500","HTML Coder",1
"Івано-Франківськ","1-3 роки","3000 - 3500","Site Reliability Engineer",1
"Івано-Франківськ","1-3 роки","3500 - 4000","Delivery Manager",1
"Івано-Франківськ","1-3 роки","3500 - 4000","DevOps Engineer",1
"Івано-Франківськ","1-3 роки","3500 - 4000","Project Manager",1
"Івано-Франківськ","1-3 роки","4000 - 4500","CTO",1
"Івано-Франківськ","1-3 роки","4000 - 4500","Product Marketing Manager",1
"Івано-Франківськ","1-3 роки","4500 - 5000","Scrum Master",1
"Івано-Франківськ","1-3 роки","500 - 1000","Animator",1
"Івано-Франківськ","1-3 роки","500 - 1000","Business Analyst",1
"Івано-Франківськ","1-3 роки","500 - 1000","DevOps Engineer",1
"Івано-Франківськ","1-3 роки","500 - 1000","ERP/CRM",1
"Івано-Франківськ","1-3 роки","500 - 1000","Graphic Designer",1
"Івано-Франківськ","1-3 роки","500 - 1000","HR Manager",2
"Івано-Франківськ","1-3 роки","500 - 1000","Marketing Manager",1
"Івано-Франківськ","1-3 роки","500 - 1000","Project Manager",4
"Івано-Франківськ","1-3 роки","500 - 1000","Recruiter",5
"Івано-Франківськ","1-3 роки","500 - 1000","Research Engineer",1
"Івано-Франківськ","1-3 роки","500 - 1000","Support",4
"Івано-Франківськ","1-3 роки","500 - 1000","SysAdmin",1
"Івано-Франківськ","1-3 роки","500 - 1000","Talent Researcher / Sourcer",2
"Івано-Франківськ","1-3 роки","500 - 1000","UI / UX Designer",3
"Івано-Франківськ","1-3 роки","5000 - 5500","DevOps Engineer",1
"Івано-Франківськ","1-3 роки","5000 - 5500","Product Manager",2
"Івано-Франківськ","1-3 роки","5000 - 5500","Program Manager",1
"Івано-Франківськ","1-3 роки","6000 - 6500","Data Engineer / Big Data Engineer",1
"Івано-Франківськ","1-3 роки","6000 - 6500","DevOps Engineer",1
"Івано-Франківськ","1-3 роки","6000 - 6500","Program Manager",1
"Івано-Франківськ","1-3 роки","6500 +","Delivery Manager",1
"Івано-Франківськ","1-3 роки","6500 +","Director of Engineering",1
"Івано-Франківськ","10+ років","2000 - 2500","Product Owner",1
"Івано-Франківськ","10+ років","4000 - 4500","Business Analyst",1
"Івано-Франківськ","10+ років","4000 - 4500","Project Manager",1
"Івано-Франківськ","10+ років","4500 - 5000","Product Designer",1
"Івано-Франківськ","10+ років","5000 - 5500","DevOps Engineer",1
"Івано-Франківськ","10+ років","5000 - 5500","Product Manager",1
"Івано-Франківськ","15  і більше років","2500 - 3000","SysAdmin",1
"Івано-Франківськ","15  і більше років","500 - 1000","HR Manager",1
"Івано-Франківськ","15  і більше років","5000 - 5500","Director of Engineering",1
"Івано-Франківськ","15  і більше років","5000 - 5500","UI / UX Designer",1
"Івано-Франківськ","15  і більше років","5500 - 6000","Product Designer",1
"Івано-Франківськ","15  і більше років","6500 +","Project Manager",1
"Івано-Франківськ","4-6 років","0 - 500","Designer",1
"Івано-Франківськ","4-6 років","1000 - 1500","Chief Marketing Officer (CMO)",1
"Івано-Франківськ","4-6 років","1000 - 1500","Digital Marketing Manager",1
"Івано-Франківськ","4-6 років","1000 - 1500","HR Business Partner",1
"Івано-Франківськ","4-6 років","1000 - 1500","HR Manager",3
"Івано-Франківськ","4-6 років","1000 - 1500","Marketing Manager",1
"Івано-Франківськ","4-6 років","1000 - 1500","Other",1
"Івано-Франківськ","4-6 років","1000 - 1500","Recruiter",1
"Івано-Франківськ","4-6 років","1500 - 2000","3D Artist",1
"Івано-Франківськ","4-6 років","1500 - 2000","Data Analyst",1
"Івано-Франківськ","4-6 років","1500 - 2000","HR Business Partner",1
"Івано-Франківськ","4-6 років","1500 - 2000","People partner / Happiness manager",2
"Івано-Франківськ","4-6 років","1500 - 2000","Product Marketing Manager",1
"Івано-Франківськ","4-6 років","1500 - 2000","Project Manager",1
"Івано-Франківськ","4-6 років","1500 - 2000","Technical writer",1
"Івано-Франківськ","4-6 років","1500 - 2000","UI / UX Designer",1
"Івано-Франківськ","4-6 років","2000 - 2500","3D Artist",1
"Івано-Франківськ","4-6 років","2000 - 2500","Product Manager",1
"Івано-Франківськ","4-6 років","2000 - 2500","Project Manager",1
"Івано-Франківськ","4-6 років","2000 - 2500","Recruiter",1
"Івано-Франківськ","4-6 років","2000 - 2500","Support",1
"Івано-Франківськ","4-6 років","2000 - 2500","UI / UX Designer",1
"Івано-Франківськ","4-6 років","2500 - 3000","Data Analyst",1
"Івано-Франківськ","4-6 років","2500 - 3000","People partner / Happiness manager",1
"Івано-Франківськ","4-6 років","2500 - 3000","Product Owner",1
"Івано-Франківськ","4-6 років","2500 - 3000","Project Manager",2
"Івано-Франківськ","4-6 років","2500 - 3000","Support",1
"Івано-Франківськ","4-6 років","2500 - 3000","Talent Acquisition Manager",1
"Івано-Франківськ","4-6 років","3000 - 3500","Project Manager",1
"Івано-Франківськ","4-6 років","3500 - 4000","3D Artist",1
"Івано-Франківськ","4-6 років","3500 - 4000","Business Analyst",1
"Івано-Франківськ","4-6 років","3500 - 4000","Data Engineer / Big Data Engineer",1
"Івано-Франківськ","4-6 років","3500 - 4000","Data Scientist",1
"Івано-Франківськ","4-6 років","3500 - 4000","DBA",1
"Івано-Франківськ","4-6 років","3500 - 4000","DevOps Engineer",3
"Івано-Франківськ","4-6 років","3500 - 4000","Product Designer",1
"Івано-Франківськ","4-6 років","3500 - 4000","Product Manager",1
"Івано-Франківськ","4-6 років","4000 - 4500","Data Analyst",1
