"city","experience","salary","position","specialisation","freq"
"Інше","4-6 років","2500 - 3000","Team Lead","Automation QA",1
"Інше","4-6 років","2500 - 3000","Team Lead","General QA",1
"Інше","4-6 років","2500 - 3000","Team Lead","Manual QA",3
"Інше","4-6 років","2500 - 3000","Tech Lead","Automation QA",1
"Інше","4-6 років","2500 - 3000","Tech Lead","Manual QA",1
"Інше","4-6 років","3000 - 3500","Middle","Automation QA",2
"Інше","4-6 років","3000 - 3500","Middle","General QA",2
"Інше","4-6 років","3000 - 3500","Middle","Manual QA",3
"Інше","4-6 років","3000 - 3500","Senior","Automation QA",2
"Інше","4-6 років","3000 - 3500","Senior","General QA",1
"Інше","4-6 років","3000 - 3500","Senior","Manual QA",13
"Інше","4-6 років","3000 - 3500","Team Lead","General QA",1
"Інше","4-6 років","3000 - 3500","Team Lead","Manual QA",6
"Інше","4-6 років","3000 - 3500","Tech Lead","Manual QA",1
"Інше","4-6 років","3500 - 4000","Middle","Automation QA",1
"Інше","4-6 років","3500 - 4000","Senior","Automation QA",3
"Інше","4-6 років","3500 - 4000","Senior","General QA",2
"Інше","4-6 років","3500 - 4000","Senior","Manual QA",5
"Інше","4-6 років","3500 - 4000","Team Lead","Manual QA",1
"Інше","4-6 років","4000 - 4500","Head","Manual QA",1
"Інше","4-6 років","4000 - 4500","Middle","Automation QA",2
"Інше","4-6 років","4000 - 4500","Middle","General QA",2
"Інше","4-6 років","4000 - 4500","Senior","Automation QA",6
"Інше","4-6 років","4000 - 4500","Senior","General QA",1
"Інше","4-6 років","4000 - 4500","Senior","Manual QA",2
"Інше","4-6 років","4000 - 4500","Team Lead","General QA",2
"Інше","4-6 років","4500 - 5000","Middle","Automation QA",1
"Інше","4-6 років","4500 - 5000","Senior","Automation QA",4
"Інше","4-6 років","4500 - 5000","Senior","General QA",1
"Інше","4-6 років","4500 - 5000","Team Lead","Manual QA",1
"Інше","4-6 років","500 - 1000","Junior","General QA",1
"Інше","4-6 років","500 - 1000","Junior","Manual QA",4
"Інше","4-6 років","500 - 1000","Middle","General QA",1
"Інше","4-6 років","500 - 1000","Middle","Manual QA",7
"Інше","4-6 років","500 - 1000","Middle","Performance QA",1
"Інше","4-6 років","500 - 1000","Team Lead","Manual QA",1
"Інше","4-6 років","5000 - 5500","Middle","Automation QA",1
"Інше","4-6 років","5000 - 5500","Senior","Automation QA",1
"Інше","4-6 років","5000 - 5500","Team Lead","General QA",1
"Інше","4-6 років","5000 - 5500","Team Lead","Manual QA",1
"Інше","4-6 років","5500 - 6000","Senior","Automation QA",1
"Інше","4-6 років","6000 - 6500","Manager","Automation QA",1
"Інше","4-6 років","6000 - 6500","Senior","Automation QA",2
"Інше","4-6 років","6000 - 6500","Senior","Manual QA",1
"Інше","4-6 років","6500 +","Senior","Automation QA",1
"Інше","7-10 років","1000 - 1500","Middle","Manual QA",1
"Інше","7-10 років","1000 - 1500","Senior","Manual QA",1
"Інше","7-10 років","1500 - 2000","Middle","General QA",1
"Інше","7-10 років","1500 - 2000","Middle","Manual QA",2
"Інше","7-10 років","2000 - 2500","Middle","Automation QA",2
"Інше","7-10 років","2000 - 2500","Middle","General QA",1
"Інше","7-10 років","2000 - 2500","Middle","Manual QA",3
"Інше","7-10 років","2000 - 2500","Senior","Automation QA",2
